"year","stock","SpeciesCommonName","ExpertGroup","DataCategory","AssessmentType"
2018,"bli.27.5b67","Blue ling","WGDEEP",1,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)"
2018,"cod.27.1-2","Cod","AFWG",1,"SAM, with cannibalism estimated"
2018,"dgs.27.nea","Spurdog","WGEF",1.2,"Age- and length-structured model, with separate sexes"
2018,"had.27.1-2","Haddock","AFWG",1,"Age based analytical assessment (SAM)that uses landings in the model and in the forecast"
2018,"had.27.6b","Haddock","WGCSE",1,"Age-structured model (XSA), uses catches in the model and in the forecast"
2018,"her.27.1-24a514a","Herring","WGWIDE",1,"Statistical assessment model (XSAM)"
2018,"lez.27.4a6a","Megrim","WGCSE",1,"Bayesian state–space biomass dynamic model that uses catches in the model and in the forecast."
2018,"meg.27.7b-k8abd","Megrim","WGBIE",1,"Statistical catch at age using catches in the model and forecast"
2018,"pok.27.1-2","Saithe","AFWG",1,"Age-structured model (SAM) that uses landings in the model and the forecast"
2018,"pok.27.5a","Saithe","NWWG",1,"Age-structured model, separable statistical catch-at-age model"
2018,"pra.27.1-2","Northern shrimp","NIPAG",1.6,"Bayesian fitting of a surplus-production model"
2018,"pra.27.3a4a","Northern shrimp","NIPAG",1,"Quarterly length-based analytical assessment (Stock Synthesis 3) uses catch in model and forecast"
2018,"reb.27.1-2","Beaked redfish","AFWG",1,"Age-structured model, statistical catch-at-age"
2018,"tur.27.4","Turbot","WGNSSK",1,"Age-based assessment indicative of trends (SAM)"
2018,"whg.27.6a","Whiting","WGCSE",1,"Age-structured model (TSA), uses catches in the model and in the forecast"
2018,"whg.27.7a","Whiting","WGCSE",1,"Analytical survey-based assessement indicative of trends"
2018,"whg.27.7b-ce-k","Whiting","WGCSE",1,"Age-structured model (XSA), uses catches in the model and in the forecast"
2018,"wit.27.3a47d","Witch","WGNSSK",1,"Age-structured model (SAM) that uses landings in the model and the forecast"
2019,"ane.27.8","Anchovy","WGHANSA",1,"Two-stage Bayesian biomass dynamic model (CBBM)"
2019,"bli.27.5b67","Blue ling","WGDEEP",1,"Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)"
2019,"cod.27.1-2","Cod","AFWG",1,"SAM, with cannibalism estimated"
2019,"cod.27.5b1","Cod","NWWG",1.7,"SAM"
2019,"dgs.27.nea","Spurdog","WGEF",1.2,"Age- and length-structured model, with separate sexes"
2019,"ghl.27.561214","Greenland halibut","NWWG",1,"probabilistic (Bayesian) version of a surplus production model"
2019,"had.27.1-2","Haddock","AFWG",1,"Age based analytical assessment (SAM)that uses landings in the model and in the forecast"
2019,"had.27.5b","Haddock","NWWG",1.7,"SAM"
2019,"had.27.6b","Haddock","WGCSE",1,"Age-structured model (XSA), uses catches in the model and in the forecast"
2019,"had.27.7a","Haddock","WGCSE",1,"Age-structured model (ASAP)"
2019,"hom.27.2a4a5b6a7a-ce-k8","Horse mackerel","WGWIDE",1,"SS3"
2019,"mac.27.nea","Mackerel","WGWIDE",1,"1.0 age-based analytical model (SAM)"
2019,"pok.27.1-2","Saithe","AFWG",1,"Age-structured model (SAM) that uses landings in the model and the forecast"
2019,"pok.27.5b","Saithe","NWWG",1.7,"Age-structured model (SAM)"
2019,"pra.27.1-2","Northern shrimp","NIPAG",1.6,"Bayesian fitting of a surplus-production model"
2019,"reb.27.1-2","Beaked redfish","AFWG",1,"Age-structured model, statistical catch-at-age"
2019,"sol.27.8ab","Sole","WGBIE",1,"Age-based analytical assessment (FLXSA) that uses landings in the model; discards are then included to calculate a catch forecast."
2019,"spr.27.4","Sprat","HAWG",1,"Age-based analytical assessment (SMS)"
2019,"whg.27.6a","Whiting","WGCSE",1,"Age-structured model (TSA), uses catches in the model and in the forecast"
